iter	MultiClass
0	1.500680278
1	1.402751606
2	1.323533267
3	1.26997556
4	1.22015505
5	1.160379214
6	1.114598383
7	1.071977057
8	1.029259641
9	0.9917182914
10	0.9569991179
11	0.9284466194
12	0.8992336611
13	0.8721328041
14	0.8488840694
15	0.831648301
16	0.8086582955
17	0.7907969467
18	0.773932757
19	0.7560447166
20	0.743462982
21	0.7262895736
22	0.7091713661
23	0.6957190145
24	0.6818267923
25	0.6703116029
26	0.6564503703
27	0.6453332462
28	0.6337642942
29	0.6227014624
30	0.6118101144
31	0.6048582889
32	0.5978271747
33	0.5898160554
34	0.5825456699
35	0.5778905065
36	0.5720861084
37	0.5659421474
38	0.5569772444
39	0.5498365004
40	0.5451268943
41	0.5396112655
42	0.5343209805
43	0.530130353
44	0.5235397523
45	0.5185516325
46	0.5152837382
47	0.5086649237
48	0.50425308
49	0.500056786
50	0.4944976909
51	0.489167166
52	0.4851889732
53	0.4823996034
54	0.4769679751
55	0.4718470627
56	0.4679062201
57	0.4630123981
58	0.4580582584
59	0.4555423798
60	0.4519298387
61	0.4477955069
62	0.4446944188
63	0.4423310477
64	0.439807104
65	0.437881096
66	0.4361893339
67	0.4337484421
68	0.4313621299
69	0.4292805845
70	0.4268015828
71	0.4233549046
72	0.4208691861
73	0.4173355294
74	0.4156819321
75	0.4134724814
76	0.4109053799
77	0.408771422
78	0.4069939983
79	0.4051650299
80	0.4037152867
81	0.4005751284
82	0.3982596395
83	0.3962171863
84	0.3945113982
85	0.3920605799
86	0.3894051464
87	0.387546836
88	0.3864598046
89	0.3847315101
90	0.3837450637
91	0.3819244592
92	0.3794776335
93	0.3780492133
94	0.3765542572
95	0.3750195934
96	0.373732489
97	0.3725180245
98	0.3713203576
99	0.3695540349
100	0.3685860686
101	0.366791022
102	0.3659487359
103	0.364820164
104	0.3635084533
105	0.3623010298
106	0.3611650988
107	0.3595808602
108	0.3579050565
109	0.356883408
110	0.3555928994
111	0.3533902937
112	0.3524097733
113	0.3509311733
114	0.3496594174
115	0.3474509077
116	0.3462286913
117	0.3454172225
118	0.3435534156
119	0.3424722524
120	0.3414701743
121	0.33996033
122	0.3387744831
123	0.3367401715
124	0.3356416249
125	0.3348539741
126	0.3337332891
127	0.3323055021
128	0.3313966155
129	0.330634039
130	0.329571845
131	0.3285624582
132	0.327316523
133	0.3266070841
134	0.3258199627
135	0.3243403081
136	0.3228743595
137	0.322382513
138	0.3203095462
139	0.3189227864
140	0.3172177433
141	0.3167927732
142	0.3154318719
143	0.3143607526
144	0.3129507789
145	0.3121946391
146	0.3111570505
147	0.310158467
148	0.309316513
149	0.3080977666
150	0.3071446665
151	0.3066327509
152	0.3056334896
153	0.3044533099
154	0.3034123039
155	0.3025964677
156	0.3021473341
157	0.3016248479
158	0.300355831
159	0.2994775624
160	0.2987606527
